2025-10-24 00:14:17 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_1_Sheet1_1761282857, 学生=linhao, 单词集=Sheet1, 单词数=5
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-25T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-26T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-27T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-29T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-31T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-02T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-05T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-07T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-10T02:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-24 00:14:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-14T02:00:00Z (UTC), 类型=review, 时长=30分钟
